Organization Name,Address,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Latitude,Longitude,Census Tract,BIN,BBL,NTA
"Spanish Dance Arts Company, Inc.","4 West 43rd Street, Ste. 608",New York,NY,10036,(212) 736-4499,Dance,Manhattan Council District #1,Manhattan Community Board #5,Manhattan,40.754371,-73.980932,96,1034201,1012580042,Midtown-Midtown South
"Spanish Theatre Repertory Company, Ltd.",138 East 27th Street,New York,NY,10016,(212) 225-9934,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.741886,-73.982599,68,1018151,1008820060,Gramercy
"Spanish-English Ensemble Theatre, Inc.",P.O. Box 1200,New York,NY,10003,(212) 598-4320,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,,,
"Speculum Musicae, Inc.","255 West 88th St., Apt. 10C",New York,NY,10024,(212) 799-2227,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.789874,-73.97614,175,1033291,1012360010,Upper West Side
"Spellbound Theatre, Inc",941 President Street,Brooklyn,NY,11215,(347) 646-8542,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,40.672277,-73.971885,165,3024712,3010660051,Park Slope-Gowanus
"Sphinx Organization, Inc.","2214 Frederick Douglass Boulevard,",New York,NY,10026,(313) 877-9100 x703,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,,,,,,
"Spiderwoman Theater Workshop, Inc.",333 DeGraw Street,Brooklyn,NY,11231,(718) 797-4262,Theater,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,40.683108,-73.993546,75,3006672,3004140044,Carroll Gardens-Columbia Street-Red Hook
"Spoke the Hub Dancing, Inc.",748 Union Street,Brooklyn,NY,11215,(718) 408-3234,"Multi-Discipline, Performing",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,40.675627,-73.978467,133,3020144,3009560043,Park Slope-Gowanus
"St Albans Cycle of Life, Inc.",190- 04 119th Avenue,St. Albans,NY,11412,(212) 470-6559,"Multi-Discipline, Performing",Queens Council District #27,Queens Community Board #12,Queens,40.688997,-73.75968,394,4272513,4126460001,St. Albans
"St. Ann's Warehouse, Inc.",45 Water Street,Brooklyn,NY,11201,(718) 834-8794,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.70332,-73.992624,21,3378511,3000260080,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"St. Augustine's Project, Inc",333 Madison Street,New York,NY,10002,(212) 673-5220,,,,Manhattan,40.713264,-73.9834,202,1081965,1002670019,Lower East Side
"St. Cecilia Club, Inc.",PO Box 421 FDR Station,NEW YORK,NY,10150,(646) 638-2535,Music,Manhattan Council District #5,Manhattan Community Board #6,Manhattan,40.712269,-73.979638,202,1003217,1002620014,Lower East Side
"St. George Theatre Restoration, Inc.",35 Hyatt Street,Staten Island,NY,10301,(718) 442-2900,"Multi-Discipl, Perf & Non-Perf",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,40.641861,-74.077295,3,5135204,5000080150,West New Brighton-New Brighton-St. George
St. George's Choral Society Since 1817,P.O. Box 3932,New York,NY,10163,(917) 685-9108,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,,,,,,
"St. Luke's Chamber Ensemble, Inc.","330 West 42nd Street, 9th Floor",New York,NY,10036,(212) 594-6100,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.757661,-73.990832,115,1024926,1010320048,Clinton
St. Mark's Historic Landmark Fund,"232 East 11th Street, 2nd Floor",New York,NY,10003,(212) 228-2781,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Staten Island,,,,,,
St. Nicks Alliance,2 Kingsland Avenue,Brooklyn,NY,11211,(718) 388-5454,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,40.715895,-73.940025,449,3389465,3028850010,East Williamsburg
St. Paul Community Baptist Church,859 Hendrix Street,Brooklyn,NY,11207,(718) 257-1300 x123,Theater,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,40.660158,-73.88427,1104,3097692,3043540024,East New York
"St. Raymond Community Outreach, Inc.","71 Metropolitan Oval, 2nd Floor",Bronx,NY,10462,(718) 824-0353 x12,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #18,Bronx Community Board #9,Bronx,40.838228,-73.860592,21602,2096605,2039377501,Parkchester
Stage Directors and Choreographers Workshop Foundation,"321 West 44th Street, 8th Floor",New York,NY,10036,(212) 391-1070 x233,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.75889,-73.989669,121,1080878,1010350017,Clinton
"Stages of Learning, Inc.",c/o QTIP,Flushing,NY,11352,(646) 209-3641,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,,,,,,
"Stages on the Sound, Inc.",P.O. Box 24371,Brooklyn,NY,11202,(646) 535-3154,Theater,Brooklyn Council District #39,Brooklyn Community Board #7,Brooklyn,,,,,,
"Standby Program, Inc.",14362 Sanford Avenue,Flushing,NY,11355,(212) 206-7858,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Queens,40.758588,-73.821666,857,4117073,4051830035,Flushing
Staret...The Directors Company,311 W. 43rd St,New York,NY,10036,(212) 246-5877,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.75818,-73.989922,121,1024965,1010340022,Clinton
Statement Arts,2 River Terrace,New York,NY,10282,(800) 804-0081,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #12,Manhattan,40.715539,-74.016644,31703,1087518,1000167516,Battery Park City-Lower Manhattan
"Staten Island Ballet Theater, Inc.",3081 Richmond Road,Staten Island,NY,10306,(718) 980-0500,Dance,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island,40.575849,-74.124267,181,5023603,5009500133,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
"Staten Island Chamber Music Players, Inc.",27 Storer Avenue,Staten Island,NY,10309,(718) 356-2094,Music,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island,40.539203,-74.236223,226,5086775,5073110015,Charleston-Richmond Valley-Tottenville
Staten Island Children's Museum,"1000 Richmond Terrace, Building M",Staten Island,NY,10301,(718) 273-2060,Museum,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,40.645232,-74.104674,97,5000000,5000760200,West New Brighton-New Brighton-St. George
Staten Island Historical Society,441 Clarke Avenue,Staten Island,NY,10306,(718) 351-1617,Folk Arts,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island,40.571061,-74.145848,279,5121947,5044410001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
Staten Island Institute of Arts and Sciences,1000 Richmond Terrace,New York,NY,10301,(718) 727-1135,Museum,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,40.645232,-74.104674,97,5000000,5000760200,West New Brighton-New Brighton-St. George
Staten Island MakerSpace,450 Front Street,Staten Island,NY,10304,(718) 273-3951,"Multi-Discipline, Non-Perform",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,40.626182,-74.07425,6,5106813,5004940030,Stapleton-Rosebank
"Staten Island Philharmonic Orchestra, Inc.",14 Brentwood Avenue,Staten Island,NY,10301,(718) 273-3250,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,40.638956,-74.102978,67,5002259,5001010103,New Brighton-Silver Lake
Staten Island Shakespearean Theatre Co. Inc.,"c/o David Murphy, Treasurer",Staten Island,NY,10304,(718) 447-2245,Theater,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,,,,,,
"Staten Island Zoological Society, Inc.",614 Broadway,Staten Island,NY,10310,(718) 442-3101,Zoo,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,40.625592,-74.114611,125,5106733,5003140070,West New Brighton-New Brighton-St. George
Stecher and Horowitz Foundation,"119 West 57th Street, Ste. 1401",New York,NY,10019,(212) 581-8380,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.764655,-73.977972,137,1023725,1010100021,Midtown-Midtown South
Stefanie Nelson Dance Group,468 Riverside Drive,New York,NY,10027,(347) 831-3384,Dance,Manhattan Council District #7,Manhattan Community Board #9,Brooklyn,,,,,,
Stella Adler Studio of Acting,"31 West 27th Street, 3rd floor",New York,NY,10001,(212) 689-0087 x12,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.744747,-73.989354,58,1015680,1008290016,Hudson Yards-Chelsea-Flatiron-Union Square
"Stephen Petronio Dance Company, Inc.",140 Second Avenue,New York,NY,10003,(212) 473-1660,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.728956,-73.987401,38,1006362,1004500006,East Village
Stickball Printmedia Arts,"100 Bleecker Street, Apt. 8F",New York,NY,10012,(212) 277-8021,Visual Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.727153,-73.997124,5501,1008243,1005240066,West Village
"Stolen Chair Theatre Company, Inc.","64 East 94th Street, Apt. 5G",New York,NY,10128,(212) 410-2830,Theater,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.78564,-73.954461,16001,1047126,1015050044,Upper East Side-Carnegie Hill
Storefront for Art and Architecture,97 Kenmare Street,New York,NY,10012,(212) 431-5795,Architecture/Design,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.721318,-73.996984,41,1066730,1004817501,SoHo-TriBeCa-Civic Center-Little Italy
"Storm Theatre, Inc.","32 West 72 Street, Suite 2B",New York,NY,10023,(917) 841-6636,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.776949,-73.977719,157,1028622,1011240051,Lincoln Square
"StoryCorps, Inc.","80 Hanson Place, 2nd Floor",Brooklyn,NY,11217,(646) 723-7020,Film/Video/Audio,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,40.685488,-73.974421,35,3057479,3020030034,Fort Greene
Storyville Center for the Spoken Word,75 Broad Street,New York,NY,10004,(212) 742-0552,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.704487,-74.011556,9,1000849,1000290070,Battery Park City-Lower Manhattan
"Strange Sun Theater, Inc.",65 west 90th street,"New York, NY 10024",NY,10024,(646) 801-7143,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.788816,-73.969712,177,1031595,1012040001,Upper West Side
"Streb, Inc.",51 North 1st Street,Brooklyn,NY,11249,(718) 384-6491,Dance,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,40.716767,-73.964713,555,3062433,3023630038,North Side-South Side
"Street Lab, Inc.",6 Varick St #10B,New York,NY,10013,(212) 941-5084,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.719451,-74.006861,33,1002154,1001897501,SoHo-TriBeCa-Civic Center-Little Italy
String Orchestra of New York City,"251 Seaman Avenue, 1F",New York,NY,10034,(212) 543-0475,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,40.871766,-73.918157,307,1065036,1022430366,Marble Hill-Inwood
"Studio Dante, Inc.",499 Canal Street,New York,NY,10013,(212) 239-4500,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.724126,-74.008493,37,1010320,1005940113,SoHo-TriBeCa-Civic Center-Little Italy
Studio Museum in Harlem,144 West 125th Street,New York,NY,10027,(212) 864-4500,Visual Arts,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.808523,-73.947278,222,1057819,1019090009,Central Harlem South
"Studio in a School Association, Inc.",75 West End Avenue,New York,NY,10023,(212) 765-5900 x10,Visual Arts,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.77422,-73.989237,151,1088686,1011710063,Lincoln Square
"Stuttering Association for the Young, Inc.",247 W 37 Street,New York,NY,10018,(212) 414-9696,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.753475,-73.990594,109,1014454,1007870011,Midtown-Midtown South
Sugar Hill Children's Museum of Art & Storytelling,898 St. Nicholas Avenue,New York,NY,10032,(212) 335-0004,Museum,Manhattan Council District #9,Manhattan Community Board #9,Manhattan,40.8307,-73.941435,23501,1089726,1020697501,Hamilton Heights
"Sundog Theatre, Inc.",P.O. Box 10183,Staten Island,NY,10301,(718) 816-5453,Theater,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,,,,,,
Sunnyside District Management Association,PO Box 4477,Sunnyside,NY,11104,(718) 606-1800,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #2,Queens,,,,,,
"Sunset Park School of Music, Inc.",4520 4th Avenue,Brooklyn,NY,11220,(718) 748-7860,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,40.649111,-74.009845,80,3324373,3007460039,Sunset Park West
Super Happy Healthy Kids,P.O. box 20138,New York,NY,10003,(917) 369-0032,Other,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,,,,,,
"Sweet Jane Productions, Inc.","37 Grand Avenue, 3rd Floor",Brooklyn,NY,11205,(917) 913-9610,Theater,Brooklyn Council District #35,Brooklyn Community Board #10,Brooklyn,40.696728,-73.964666,543,3334520,3018780006,park-cemetery-etc-Brooklyn
"Sweet Serenity Success, Inc.",2575 Bedford Ave,Brooklyn,NY,11226,(718) 826-2500,"Multi-Discipline, Non-Perform",Brooklyn Council District #45,Brooklyn Community Board #17,Brooklyn,40.640936,-73.954307,790,3119746,3051900046,Erasmus
Swiss Institute,"117 Second Avenue, Floor 2",New York,NY,10003,(212) 925-2035,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.727894,-73.988191,38,1006651,1004620023,East Village
"Sylvan Winds, Inc.",P.O. Box 1284,New York,NY,10025,(212) 662-0433,Music,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,,,,,,
"Sympho, Inc.","235 West 108th Street, #32",New York,NY,10025,(917) 412-1848,,,,Manhattan,40.802203,-73.965831,195,1056675,1018800010,Morningside Heights
"Symphony Space, Inc.",2537 Broadway,New York,NY,10025,(212) 864-1414 x231,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.793842,-73.972393,183,1033687,1012420055,Upper West Side
Synagogue for the Arts,49 White Street,New York,NY,10013,(212) 966-7141,Visual Arts,Manhattan Council District #1,,Manhattan,40.718526,-74.004156,33,1001933,1001750022,SoHo-TriBeCa-Civic Center-Little Italy
Synapse Productions,220 East 4th Street,New York,NY,10009,(212) 674-2716,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.7236,-73.983296,32,1081927,1003990020,East Village
"T. Schreiber Studio, Inc.",151 West 26th Street,New York,NY,10001,(212) 741-0209,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.745428,-73.992872,95,1015034,1008020008,Midtown-Midtown South
T.O.A.S.T.,50 White Street,New York,NY,10013,(917) 291-1316,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.718521,-74.004098,33,1002197,1001930010,SoHo-TriBeCa-Civic Center-Little Italy
"TADA! Theater and Dance Alliance, Inc.","15 West 28th Street, Third Floor",New York,NY,10001,(212) 252-1619 x21,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.74515,-73.988383,76,1015728,1008300030,Midtown-Midtown South
"TENET NYC, Inc.",262 West 107th Street,New York,NY,10025,(212) 580-3326,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.801836,-73.966947,195,1056645,1018780052,Morningside Heights
Taiwanese American Arts Council Corp.,47-40 190th Street,Flushing,NY,11358,(917) 412-2831,"Multi-Discipline, Non-Perform",Queens Council District #20,Queens Community Board #11,Queens,40.750011,-73.789012,1417,4126783,4056070022,Auburndale
Taiwanese American Association of New York,137-44 Northern Blvd,Flushing,NY,11354,(212) 300-6672,"Multi-Discipl, Perf & Non-Perf",Queens Council District #20,Queens Community Board #7,Manhattan,,,,,,
"Take Wing and Soar Productions, Inc.","45 Tiemann Place, Ste. 3G",New York,NY,10027,(212) 696-6575,Theater,Manhattan Council District #9,Manhattan Community Board #9,Manhattan,40.815436,-73.959465,211,1059883,1019950016,Morningside Heights
"Talea Ensemble, Inc.",37-18 Northern Boulevard,Long Island City,NY,11101,(973) 945-3929,Music,Bronx Council District #17,Bronx Community Board #1,Manhattan,,,,,,
"Talking Band, Inc.",P.O. Box 293,New York,NY,10012,(413) 299-9993,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,,,,,,
"Talujon, Inc.",37-56 87th Street Apt. 6B,Jackson Heights,NY,11372,(347) 661-4134,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,,,,,,
"Tamar Rogoff Performance Projects, Inc.",170 Avenue C,New York,NY,10009,(212) 533-8589,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.726196,-73.977281,28,1078025,1003820100,Lower East Side
Tamarind Art Council,142 East 39th Street,New York,NY,10016,(212) 200-8000 x102,Dance,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,40.749364,-73.977032,80,1019153,1008940057,Murray Hill-Kips Bay
"Tank, Ltd.",151 West 46th Street,New York,NY,10036,(212) 563-6269,"Multi-Discipline, Performing",Manhattan Council District #4,Manhattan Community Board #5,Manhattan,40.757998,-73.983667,125,1022663,1009990009,Midtown-Midtown South
"Target Margin Theater, Inc.",232 52nd Street,Brooklyn,NY,11220,(718) 398-3095,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,40.647469,-74.017269,20,3388020,3008050121,Sunset Park West
"Teachers & Writers Collaborative, Inc.",540 President Street,Brooklyn,NY,11215,(212) 691-6590 x208,Literature,Manhattan Council District #3,Manhattan Community Board #4,Brooklyn,40.677354,-73.984973,119,3000000,3004480013,Park Slope-Gowanus
"Teatro Circulo, Ltd.","65 East 4th Street, Apt. 11",New York,NY,10003,(212) 505-1808,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.726695,-73.990594,38,1077980,1004600054,East Village
"Teatro Experimental Blue Amigos, Inc.","P.O. Box 240572,",Brooklyn,NY,11224,(718) 896-4702,Theater,Brooklyn Council District #38,Brooklyn Community Board #8,Brooklyn,,,,,,
"TechLINC Project, Inc.",1513 Popham Avenue,Bronx,NY,10453,(646) 633-4844,"Multi-Discipline, Non-Perform",Bronx Council District #16,Bronx Community Board #5,Bronx,40.848019,-73.921804,20501,2099086,2028770197,University Heights-Morris Heights
"Tectonic Theater Project, Inc.","520 Eighth Ave., #313",New York,NY,10018,(212) 579-6111,Theater,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,40.753612,-73.992417,109,1083624,1007860001,Midtown-Midtown South
Temple of Understanding,"211 East 43rd Street, Apt. 1600",New York,NY,10017,(212) 573-9224,"Multi-Discipline, Non-Perform",Manhattan Council District #4,Manhattan Community Board #6,Manhattan,40.751238,-73.973458,88,1037556,1013170007,Turtle Bay-East Midtown
Temporary Distortion Theater Corp.,"332 East 4th Street, #44",New York,NY,10009,(718) 729-5914,Theater,Queens Council District #22,Queens Community Board #1,Manhattan,40.721807,-73.979065,2601,1004387,1003730019,Lower East Side
"Ten O'Clock Classics, Inc.","230 Central Park South, Ste. 9F",New York,NY,10019,(212) 629-6004,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,40.767239,-73.979968,137,1024921,1010300048,Midtown-Midtown South
"Ten Penny Players, Inc.",393 Saint Paul's Avenue,Staten Island,NY,10304,(718) 442-7429,"Multi-Discipl, Perf & Non-Perf",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,40.628932,-74.082853,33,5013644,5005190080,Grymes Hill-Clifton-Fox Hills
"Terra Incognita, Inc.",7 East 14th Street,New York,NY,10003,(212) 627-6361,Theater,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,40.735859,-73.993245,52,1016062,1008420007,Hudson Yards-Chelsea-Flatiron-Union Square
ThaiLinks,628 Tenth Avenue,New York,NY,10036,(917) 648-1933,Film/Video/Audio,,Manhattan Community Board #2,Manhattan,40.761312,-73.994235,121,1026430,1010540063,Clinton
"Thalia Spanish Theatre, Inc.",41-17 Greenpoint Avenue,Long Island City,NY,11104,(718) 729-3880,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #2,Queens,40.740108,-73.9238,18502,4002638,4001960001,Hunters Point-Sunnyside-West Maspeth
Theater Breaking Through Barriers Corp.,"400 W. 43rd St., Apt. 43R",New York,NY,10036,(212) 243-4337,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.759173,-73.992326,121,1083745,1010520001,Clinton
"Theater Garden, Ltd.",304 Windsor Place,Brooklyn,NY,11218,(212) 501-6920,Theater,Brooklyn Council District #39,Brooklyn Community Board #7,Brooklyn,40.656711,-73.974483,171,3121888,3052570033,Windsor Terrace
"Theater Labrador, Inc.","25 Broadway, 9th Floor",New York,NY,10004-1058,(646) 336-8077 x1,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.705752,-74.013374,13,1000045,1000130027,Battery Park City-Lower Manhattan
"Theater Mitu, Inc.",PO Box 1114,New York,NY,10113,(262) 501-3503,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #2,Queens,,,,,,
Theater Resources Unlimited,"309 West 104th Street, Apt. 1D",New York,NY,10025,(212) 864-3753,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #7,Manhattan,40.80047,-73.969812,191,1057214,1018910011,Upper West Side
"Theater Talk Productions, Inc.","426 Broome Street, Apt. 5F",New York,NY,10013,(212) 965-0997,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.721304,-73.998734,45,1081554,1004820001,SoHo-TriBeCa-Civic Center-Little Italy
"Theater Three Collaborative, Inc.",14A St. James Place,Brooklyn,NY,11205,(718) 789-5404,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,40.689309,-73.965077,197,3348723,3019320032,Clinton Hill
Theater et al,5-49 49th Avenue,Long Island City,NY,11101,(718) 482-7069,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,Queens Community Board #2,Queens,40.743808,-73.955835,7,4000110,4000310005,Hunters Point-Sunnyside-West Maspeth
Theater for Personal Growth,"38 West 38th Street, 3rd Floor",New York,NY,10018,(212) 731-0668,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.751512,-73.984058,84,1015979,1008390068,Midtown-Midtown South
"Theater for the New City Foundation, Inc.",155 First Avenue,New York,NY,10003,(212) 254-1109,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.728505,-73.984634,40,1006416,1004517502,East Village
"TheaterTweed, Inc.","332 Bleecker Street, #G-36",New York,NY,10014,(212) 777-0536,Theater,Manhattan Council District #8,Manhattan Community Board #2,Manhattan,40.733529,-74.004352,73,1011145,1006190033,West Village
Theatre Askew,PO Box 1603,New York,NY,10276,(646) 338-3057,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,,,
"Theatre Communications Group, Inc.","520 Eighth Avenue, 24th Floor",New York,NY,10018,(212) 609-5900 x224,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.753612,-73.992417,109,1083624,1007860001,Midtown-Midtown South
"Theatre Development Fund, Inc.","520 Eighth Avenue, Suite 801",New York,NY,10018,(212) 221-0885 x300,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.753612,-73.992417,109,1083624,1007860001,Midtown-Midtown South
"Theatre Lab, Inc.","357 West 36th Street, 3rd Floor",New York,NY,10018,(646) 742-7223,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.754151,-73.994077,111,1013589,1007600010,Hudson Yards-Chelsea-Flatiron-Union Square
Theatre Museum,"723 Seventh Avenue, 7th floor",New York,NY,10019,(212) 764-4112 x204,Museum,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.759974,-73.984067,125,1022688,1010010001,Midtown-Midtown South
"Theatre Now New York, Inc.",520 Eighth Avenue,New York,NY,10036,(212) 845-9824,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.753612,-73.992417,109,1083624,1007860001,Midtown-Midtown South
"Theatre Rehabilitation for Youth, Inc.",58 Farragut Avenue,Staten Island,NY,10303,(718) 983-1990,Theater,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,40.621298,-74.165082,30302,5119167,5016517501,Mariner's Harbor-Arlington-Port Ivory-Graniteville
Theatre for a New Audience,"154 Christopher Street, Ste. 3D",New York,NY,10014,(212) 229-2819 x20,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.73273,-74.008129,69,1010421,1006040033,West Village
"Theatre of the Emerging American Moment, Inc.",138 S. Oxford Street,New York,NY,11217,(917) 570-5257,Theater,Brooklyn Council District #35,Brooklyn Community Board #9,Manhattan,,,,,,
Theatre of the Oppressed NYC,"758 Eighth Avenue, Suite 300",New York,NY,10036,(646) 504-4582,Theater,Brooklyn Council District #33,Brooklyn Community Board #2,Manhattan,40.76007,-73.987709,125,1024736,1010187502,Midtown-Midtown South
"Theatre-Studio, Inc.",123 East 24th Street,New York,NY,10010,(212) 719-0500,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,40.740418,-73.984829,68,1018069,1008800014,Gramercy
"TheatreMoves, Inc.",275 East 7th Street #4,New York,NY,10009,(212) 529-8068,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.723484,-73.977419,2602,1004511,1003770050,Lower East Side
Theatreworks/USA Corp.,151 West 26th Street,New York,NY,10001,(212) 647-1100 x125,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.745428,-73.992872,95,1015034,1008020008,Midtown-Midtown South
"Theatron, Inc.",32-15 38th Street,Long Island City,NY,11103,(718) 721-7610,Theater,Queens Council District #26,Queens Community Board #1,Queens,40.758978,-73.920086,155,4010405,4006560031,Astoria
Thelma Hill Performing Arts Center,1525 Pacific Street,Brooklyn,NY,11213,(718) 875-9710,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,40.677156,-73.940492,311,3029942,3012040068,Crown Heights North
"Thin Man Dance, Inc.","140 Second Avenue, Ste. 501",New York,NY,10003,(212) 375-0187,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.728956,-73.987401,38,1006362,1004500006,East Village
Thresh Inc,200 W 20th Street Apt 512,New York,NY,10011,(917) 216-2664,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.7424,-73.997441,87,1068149,1007697503,Hudson Yards-Chelsea-Flatiron-Union Square
"Threshold Dance Projects, Inc.","229 West 42nd Street, Suite 502",New York,NY,10036,(212) 719-3301,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.756571,-73.98819,119,1024683,1010140017,Midtown-Midtown South
Tickle the Sleeping Giant,"140 2nd Avenue, #404",New York,NY,10003,(646) 246-1799,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.728956,-73.987401,38,1006362,1004500006,East Village
Time In Children's Arts Initiative,"260 West 54th Street, Apt. 36C",New York,NY,10019,(212) 209-1552,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.764382,-73.983326,131,1024832,1010257502,Midtown-Midtown South
Times Square District Management Association,"1560 Broadway, Suite 1001",New York,NY,10036,(212) 452-5227 x2124525227,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.75886,-73.984843,125,1022661,1009990003,Midtown-Midtown South
"Together in Dance, Inc.","195 Plymouth Street, #4-2",Brooklyn,NY,11201,(718) 768-3632,Dance,Brooklyn Council District #39,Brooklyn Community Board #6,Queens,,,,,,
